model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Baseline model,(Intercept),-1.1145274269447292,0.7450175074296312,-1.4959748137865057,0.13466021862515828,-2.5747349093586083,0.3456800554691497
Baseline model,couprev,5.118702726811493,0.8632099231356507,5.92984694640391,3.0321718118579815e-9,3.4268423663680294,6.810563087254955
Baseline model,contelection,2.816710182113233,0.46676629391347513,6.0345192419471685,1.5943663291813655e-9,1.9018650568455846,3.7315553073808814
Baseline model,high_polclose,-1.2948408000960148,0.7752909220773634,-1.6701353817306885,0.09489258123079564,-2.8143830849084956,0.22470148471646634
Baseline model,protest,0.10887272711839469,0.05311633181685567,2.0497034225515844,0.04039338083541157,0.004766629766478639,0.21297882447031075
Baseline model,lwdigdpgrocap,-0.011919523059955257,0.022442405511923388,-0.5311161075679947,0.5953383228470885,-0.05590582958976828,0.032066783469857765
Baseline model,lwdiinflationgdpfrac,0.02854432959373514,0.010770835754676314,2.6501499274410723,0.008045605850613535,0.0074338794311732785,0.04965477975629701
Baseline model,lgdpconstantcapita1000,-0.1579563256208999,0.07049442779589793,-2.2406923576744227,0.025046009484084815,-0.2961228652116191,-0.019789786030180695
Baseline model,lnondmhrsancgoal,0.6240998899021578,0.6160504943323759,1.0130661295524244,0.3110285751690651,-0.5833368916473952,1.831536671451711
Baseline model,t1nodmhrsancgoal,-1.6281234953515107,0.6509829370102082,-2.5010233030516127,0.012383502978788433,-2.904026606441625,-0.35222038426139646
Baseline model,t2nodmhrsancgoal,0.20807406820695226,0.09740187329626954,2.136242981426533,0.032659613735564655,0.017169904519530405,0.3989782318943741
Baseline model,t3nodmhrsancgoal,-0.007866696699073793,0.004087689653619447,-1.9244848228896785,0.05429384131577608,-0.015878421200144915,1.4502780199732862e-4
Interaction model,(Intercept),-1.1684157564033468,0.6980910804602466,-1.6737296738314125,0.09418373915209724,-2.536649132034083,0.19981761922738905
Interaction model,couprev,5.074177358169072,0.848509584249916,5.980106120609886,2.229922988048506e-9,3.4111291325021824,6.737225583835961
Interaction model,contelection,3.1229359565714994,0.5083257574463347,6.1435721303207735,8.068600635701355e-10,2.1266357795626405,4.119236133580358
Interaction model,high_polclose,-0.5896200790324883,0.8157918080532309,-0.7227580287175612,0.46982855741057955,-2.188542641699633,1.0093024836346567
Interaction model,protest,0.11000129231589661,0.055217547740849804,1.9921437444516923,0.0463552884968801,0.0017768874292100056,0.21822569720258322
Interaction model,lwdigdpgrocap,-0.01736372539788639,0.023123577475405065,-0.7509099929003189,0.45270682596224804,-0.06268510444340193,0.027957653647629147
Interaction model,lwdiinflationgdpfrac,0.02560430889633773,0.011191909904671051,2.2877515200199676,0.02215199554244609,0.0036685685649653667,0.04754004922771009
Interaction model,lgdpconstantcapita1000,-0.15103261112526817,0.06711547858600529,-2.2503394791668967,0.024427403637492774,-0.2825765319590077,-0.01948869029152861
Interaction model,lnondmhrsancgoal,0.7342904536203776,0.609058352877338,1.2056159317927635,0.22796561333762833,-0.4594419825024918,1.928022889743247
Interaction model,t1nodmhrsancgoal,-1.642143924402381,0.6479777597594685,-2.534259702079822,0.011268518368227329,-2.912156996313886,-0.37213085249087574
Interaction model,t2nodmhrsancgoal,0.20808704011911008,0.09703054886595083,2.1445518195159905,0.03198869803914327,0.01791065894169272,0.3982634212965275
Interaction model,t3nodmhrsancgoal,-0.007827159480774854,0.004086282037719044,-1.915472159906016,0.05543231628673935,-0.015836125105377123,1.8180614382741316e-4
Interaction model,contelection:high_polclose,-1.7835527074083768,1.2573177367756208,-1.4185377770795475,0.15603381756856408,-4.247850188612005,0.680744773795251
