model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
\shortstack{(1) HTW\\(Western sanctions)},(Intercept),-1.135133052100339,0.7178292475257599,-1.5813413231809057,0.11380001594931394,-2.542052524300316,0.2717864200996376
\shortstack{(1) HTW\\(Western sanctions)},couprev,5.126791523872432,0.7654469330238659,6.697775250884158,2.1161638694227944e-11,3.6265431030690127,6.627039944675852
\shortstack{(1) HTW\\(Western sanctions)},ifhpol,-0.05622076880008258,0.08917208297776803,-0.6304749975852788,0.5283838559895403,-0.2309948398629251,0.11855330226275992
\shortstack{(1) HTW\\(Western sanctions)},contelection,2.5837556934039694,0.45883438955751693,5.631129122417456,1.7903362261340552e-8,1.6844568150028154,3.4830545718051233
\shortstack{(1) HTW\\(Western sanctions)},deltafhcl,0.4114796901046003,0.3189620873406221,1.2900583060994892,0.1970304147210462,-0.21367451351673794,1.0366338937259385
\shortstack{(1) HTW\\(Western sanctions)},lnondmhrsancgoal,0.0531816752271215,0.6241492158790481,0.0852066683320602,0.9320970893011243,-1.1701283088747276,1.2764916593289706
\shortstack{(1) HTW\\(Western sanctions)},t1nodmhrsancgoal,-1.7882951887075156,0.5532559838175003,-3.2323106139190196,0.001227935007978272,-2.872656991221091,-0.7039333861939403
\shortstack{(1) HTW\\(Western sanctions)},t2nodmhrsancgoal,0.22594073058168296,0.08300323427493601,2.722071405474243,0.006487412324699779,0.06325738080246784,0.38862408036089807
\shortstack{(1) HTW\\(Western sanctions)},t3nodmhrsancgoal,-0.008385507880130242,0.00348261906044968,-2.4078165698224527,0.016048241973637134,-0.015211315810484334,-0.0015596999497761495
\shortstack{(2) BMR\\(Western sanctions)},(Intercept),-2.1771794666235835,0.8775328615007224,-2.4810232894301603,0.013100581321880553,-3.8971122704153744,-0.4572466628317928
\shortstack{(2) BMR\\(Western sanctions)},couprev,4.869054273578965,0.6453027562102042,7.54537963261526,4.509718655100836e-14,3.6042841122825346,6.133824434875395
\shortstack{(2) BMR\\(Western sanctions)},ifhpol,-0.039831828790251524,0.09503296050547495,-0.4191369876134372,0.675116020312201,-0.22609300872519972,0.14642935114469668
\shortstack{(2) BMR\\(Western sanctions)},contelection,2.4338338367848014,0.4080613548904324,5.9643820901352065,2.4556151409514042e-9,1.6340482777169367,3.2336193958526662
\shortstack{(2) BMR\\(Western sanctions)},deltafhcl,0.45287493430278347,0.3553775656211348,1.2743486874621395,0.20253986881731456,-0.24365229522816023,1.1494021638337273
\shortstack{(2) BMR\\(Western sanctions)},lnondmhrsancgoal,0.03111100512187719,0.6555496461302803,0.047457893243518526,0.9621482888221804,-1.253742691371449,1.3159647016152034
\shortstack{(2) BMR\\(Western sanctions)},nodemsancBMRt1,-1.1590950117120054,0.5012527201081348,-2.312396452356318,0.0207558456918,-2.1415322902766856,-0.17665773314732525
\shortstack{(2) BMR\\(Western sanctions)},nodemsancBMRt2,0.1395626991111681,0.06768231225826192,2.062026169830387,0.03920524451937785,0.006907804694580966,0.2722175935277552
\shortstack{(2) BMR\\(Western sanctions)},nodemsancBMRt3,-0.004874710341757168,0.002599012982944587,-1.8756006121348028,0.06071014229961166,-0.00996868218368057,2.1926150016623493e-4
\shortstack{(3) HTW\\(EU sanctions)},(Intercept),-1.9554687872531968,0.9455051519253125,-2.068173592995571,0.03862370245720927,-3.808624832223881,-0.10231274228251297
\shortstack{(3) HTW\\(EU sanctions)},couprev,3.7646946586504133,0.6967824780290083,5.402969760806302,6.554651311548985e-8,2.3990260966549863,5.13036322064584
\shortstack{(3) HTW\\(EU sanctions)},ifhpol,-0.08138316331776686,0.09019566946142071,-0.9022956845237097,0.36689981739826905,-0.2581634270236306,0.09539710038809689
