model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
\shortstack{(5) HTW\\(Western sanctions)},(Intercept),-0.9633361442457526,1.4999637049022474,-0.6422396362640876,0.5207176011555612,-3.903210983971422,1.976538695479917
\shortstack{(5) HTW\\(Western sanctions)},couprev,5.1281484306680465,1.0008692617361745,5.123694599005288,2.9960612214125686e-7,3.1664807244319526,7.08981613690414
\shortstack{(5) HTW\\(Western sanctions)},contelection,2.908569406363121,0.45164681433067744,6.439920119161041,1.195363971456596e-10,2.0233579165427447,3.793780896183497
\shortstack{(5) HTW\\(Western sanctions)},protest,0.09548658527791667,0.060024648134659915,1.5907895880322545,0.11165693694719549,-0.02215956325070606,0.2131327338065394
\shortstack{(5) HTW\\(Western sanctions)},lwdigdpgrocap,-0.02593201287544274,0.03037080113561395,-0.8538468497965923,0.39318985213117763,-0.08545768928287424,0.033593663531988754
\shortstack{(5) HTW\\(Western sanctions)},lwdiinflationgdpfrac,0.02156310047794857,0.008030968288326104,2.6849938517741267,0.007253114043240733,0.005822691871846128,0.037303509084051015
\shortstack{(5) HTW\\(Western sanctions)},lgdpconstantcapita1000,-0.1776194773845026,0.08946960558219984,-1.9852493618217129,0.047116734877332374,-0.35297668203661803,-0.0022622727323871883
\shortstack{(5) HTW\\(Western sanctions)},lwestorgtie,0.30070388761331496,0.11697744631997992,2.570614225846323,0.010151834203583962,0.07143230582268692,0.529975469403943
\shortstack{(5) HTW\\(Western sanctions)},lblackknight,-0.08115933723538865,0.1568684082697817,-0.5173720963357461,0.6048964345126175,-0.38861576775628587,0.22629709328550857
\shortstack{(5) HTW\\(Western sanctions)},lwesttradelog,-0.08269454829668653,0.1744251596876453,-0.4740975925994457,0.635430315255541,-0.4245615792821189,0.2591724826887458
\shortstack{(5) HTW\\(Western sanctions)},lwdi_fdi,-0.04593209845146504,0.022387986964525104,-2.0516403964432697,0.040204623227751014,-0.08981174658828643,-0.002052450314643642
\shortstack{(5) HTW\\(Western sanctions)},loilmil,7.223658316142441e-4,0.007103588820367243,0.101690265284372,0.9190025292665698,-0.013200412417286915,0.014645144080515402
\shortstack{(5) HTW\\(Western sanctions)},lnondmhrsancgoal,0.8480070009948921,0.570658255363339,1.4860154795359346,0.13727502660729843,-0.27046262699771306,1.9664766289874973
\shortstack{(5) HTW\\(Western sanctions)},lagree2un_westimp2,-4.41285289337856,1.651141638583114,-2.672607116349715,0.0075264341247113864,-7.649031038375912,-1.176674748381207
\shortstack{(5) HTW\\(Western sanctions)},t1nodmhrsancgoal,-1.6426383878213726,0.5723390375133085,-2.870044292205346,0.00410414305367993,-2.764402288293776,-0.5208744873489695
\shortstack{(5) HTW\\(Western sanctions)},t2nodmhrsancgoal,0.21164185653035453,0.08253825796494393,2.5641667482277626,0.010342384396967504,0.04986984357238822,0.37341386948832084
\shortstack{(5) HTW\\(Western sanctions)},t3nodmhrsancgoal,-0.007911865751409022,0.003363371378253316,-2.3523616222000006,0.018654629277445878,-0.014503952519418363,-0.0013197789833996826
\shortstack{(6) BMR\\(Western sanctions)},(Intercept),-2.6199215259768986,1.5545531038763822,-1.6853213437636507,0.09192658994385856,-5.66678962162956,0.42694656967576305
\shortstack{(6) BMR\\(Western sanctions)},couprev,5.050175439671724,0.8172526072315136,6.179454669198867,6.432339971939546e-10,3.4483897632264995,6.651961116116949
\shortstack{(6) BMR\\(Western sanctions)},contelection,2.8811939614590263,0.41507996806277053,6.941298504251877,3.885120854530806e-12,2.0676521733519606,3.694735749566092
\shortstack{(6) BMR\\(Western sanctions)},protest,0.12274710180443651,0.06331107270881642,1.9387935877975306,0.052526477234412124,-0.0013403205274403474,0.24683452413631338
\shortstack{(6) BMR\\(Western sanctions)},lwdigdpgrocap,-0.02437814532333363,0.03495695668593493,-0.6973760771669885,0.48556746883741586,-0.09289252143689271,0.04413623079022545
\shortstack{(6) BMR\\(Western sanctions)},lwdiinflationgdpfrac,0.03074992804227726,0.009059081556699319,3.3943758922820666,6.878520903971923e-4,0.012994454458135556,0.04850540162641896
\shortstack{(6) BMR\\(Western sanctions)},lgdpconstantcapita1000,-0.11547036049586701,0.09111969340946374,-1.2672382464784961,0.20507011395342986,-0.2940616778607476,0.06312095686901359
\shortstack{(6) BMR\\(Western sanctions)},lwestorgtie,0.3384378609637344,0.1332301600854386,2.5402496007412965,0.011077338258546406,0.077311545541769,0.5995641763856998
\shortstack{(6) BMR\\(Western sanctions)},lblackknight,-0.10723174371082678,0.16079427937728027,-0.6668878030120907,0.5048438023797752,-0.42238274021036754,0.20791925278871398
\shortstack{(6) BMR\\(Western sanctions)},lwesttradelog,-0.07311543667095614,0.13542517533674595,-0.539895455103887,0.5892691323906967,-0.3385439029310001,0.1923130295890878
\shortstack{(6) BMR\\(Western sanctions)},lwdi_fdi,-0.056715360973300356,0.01644490895663625,-3.4488096664355927,5.630634375668115e-4,-0.08894679025734756,-0.024483931689253162
\shortstack{(6) BMR\\(Western sanctions)},loilmil,-0.0012535733390903422,0.00764049723429068,-0.16406960184008496,0.8696763517153108,-0.01622867274227796,0.013721526064097277
\shortstack{(6) BMR\\(Western sanctions)},lnondmhrsancgoal,0.4825091896636365,0.7088474891794615,0.6806953498871432,0.4960642793327952,-0.9068063596597533,1.8718247389870262
